cycle;start;source;rr;split;absorb;scatter;fission;produce;collision;escape;census;num_seg;scalar_flux;ppControl(s);cycleTracking(s);cycleSync(s)
0;0;8192;0;73728;306830;2793025;245713;491426;3345568;0;20803;6725067;2.4632191671399745e8;1.5921744e-2;8.26822278e-1;1.859614e-3
1;20803;8192;0;52933;367036;3205433;293164;586328;3865633;0;8056;7725427;3.14918910169884e8;1.0155443e-2;9.70010025e-1;1.0884178e-2
2;8056;8192;0;65619;345756;3046247;275905;551810;3667908;0;12016;7343824;3.191372149302375e8;1.2049356e-2;9.16754303e-1;9.061795e-3
3;12016;8192;0;61706;356636;3128730;285587;571174;3770953;0;10865;7544868;3.224676329969139e8;1.1041589e-2;9.36705966e-1;8.935904e-3
4;10865;8192;999;62984;350695;3083424;280041;560082;3714160;0;10388;7428011;3.288721564395779e8;1.4313763e-2;9.25236254e-1;9.328317e-3
5;10388;8192;182;63281;354655;3125217;284084;568168;3763956;0;11108;7530476;3.2566565375645655e8;1.1572583e-2;9.33823615e-1;9.113215e-3
6;11108;8192;464;62603;352105;3086088;281048;562096;3719241;0;10382;7437928;3.2399204996479505e8;1.1539983e-2;9.27961453e-1;8.800203e-3
7;10382;8192;480;63347;349563;3062206;278847;557694;3690616;0;10725;7381270;3.1900429805872726e8;1.5674733e-2;9.20013546e-1;9.053745e-3
8;10725;8192;574;62945;354230;3111928;283769;567538;3749927;0;10827;7502073;3.2428193744924164e8;1.1123569e-2;9.28539428e-1;8.979495e-3
9;10827;8192;522;62828;357256;3151025;286658;573316;3794939;0;10727;7589458;3.2785926921835023e8;1.116412e-2;9.42338325e-1;9.057905e-3
10;10727;8192;525;63029;352090;3099037;281542;563084;3732669;0;10875;7461432;3.1993033530218095e8;1.1125319e-2;9.26115719e-1;9.334007e-3
11;10875;8192;584;62907;355510;3134447;285236;570472;3775193;0;11116;7550263;3.2787473127802366e8;1.121973e-2;9.33213499e-1;9.230846e-3
12;11116;8192;729;62609;349480;3072968;279253;558506;3701701;0;10961;7404469;3.207007850112782e8;1.1100659e-2;9.21687097e-1;9.216956e-3
13;10961;8192;725;62722;348823;3060361;278172;556344;3687356;0;10499;7373538;3.2408900753081214e8;1.118718e-2;9.16725111e-1;9.099205e-3
14;10499;8192;458;63200;353610;3111413;282968;565936;3747991;0;10791;7497738;3.254175680116639e8;1.115876e-2;9.33047898e-1;9.257656e-3
15;10791;8192;541;62896;350694;3080550;280423;560846;3711667;0;11067;7429238;3.18319665308691e8;1.1147039e-2;9.23045197e-1;8.919594e-3
16;11067;8192;466;62662;357217;3145213;286461;572922;3788891;0;10699;7580483;3.269244769140702e8;1.2979682e-2;9.37291989e-1;9.059615e-3
17;10699;8192;351;62974;351844;3086893;281154;562308;3719891;0;10824;7446124;3.2037571155283904e8;1.1096119e-2;9.23557621e-1;9.020784e-3
18;10824;8192;659;62872;355728;3130857;285193;570386;3771778;0;10694;7541366;3.284650188946e8;1.117239e-2;9.3758514e-1;9.146365e-3
19;10694;8192;608;63143;353431;3102074;282755;565510;3738260;0;10745;7483297;3.222277213239981e8;1.116269e-2;9.30283638e-1;9.305966e-3
20;10745;8192;360;62813;356280;3132328;286061;572122;3774669;0;11171;7552102;3.262320257690887e8;1.1094429e-2;9.3611752e-1;9.329596e-3
21;11171;8192;540;62541;355977;3134364;285473;570946;3775814;0;10860;7549238;3.277431279041594e8;1.113675e-2;9.39414263e-1;9.136255e-3
22;10860;8192;376;62747;358560;3160927;287834;575668;3807321;0;10697;7617183;3.2921795375508595e8;1.1117809e-2;9.45798289e-1;9.180126e-3
23;10697;8192;356;63049;353503;3099581;282590;565180;3735674;0;10669;7473812;3.2547726818510365e8;1.1154179e-2;9.26425131e-1;9.440498e-3
24;10669;8192;537;63004;346573;3044187;276282;552564;3667042;0;11037;7340386;3.2580050190657645e8;1.1132349e-2;9.10227705e-1;9.058835e-3
25;11037;8192;452;62629;350286;3069560;279497;558994;3699343;0;10617;7399357;3.25389063314585e8;1.1088469e-2;9.21851398e-1;8.989285e-3
26;10617;8192;518;63124;352069;3095650;281172;562344;3728891;0;10518;7459163;3.259918708107796e8;1.1099479e-2;9.22395072e-1;8.936204e-3
27;10518;8192;384;63201;350925;3085121;280176;560352;3716222;0;10778;7431860;3.213820800704388e8;1.1163259e-2;9.21494326e-1;9.226426e-3
28;10778;8192;436;62986;346945;3036864;275929;551858;3659738;0;10504;7319478;3.174109585898249e8;1.114407e-2;9.08576113e-1;9.015644e-3
29;10504;8192;706;63302;347843;3049804;277428;554856;3675075;0;10877;7347603;3.1957474757478285e8;1.1153499e-2;9.10094405e-1;8.901764e-3
30;10877;8192;498;62856;355413;3127651;284669;569338;3767733;0;10683;7535807;3.2972775199894905e8;1.1100129e-2;9.32357043e-1;9.111445e-3
31;10683;8192;445;63125;355522;3133504;284855;569710;3773881;0;10888;7547038;3.2121303335030824e8;1.114761e-2;9.38599658e-1;9.012294e-3
32;10888;8192;480;62773;354085;3116332;283480;566960;3753897;0;10768;7508754;3.28102811485436e8;1.1097359e-2;9.32495704e-1;9.426137e-3
33;10768;8192;385;62883;353149;3112227;282661;565322;3748037;0;10970;7497589;3.2261792125778395e8;1.121143e-2;9.35461535e-1;9.089215e-3
34;10970;8192;672;62804;352171;3094466;281552;563104;3728189;0;10675;7457515;3.224545980932388e8;1.3340335e-2;9.27887911e-1;9.189726e-3
35;10675;8192;464;63001;346034;3035989;275333;550666;3657356;0;10703;7315499;3.181926268452404e8;1.11992e-2;9.04972898e-1;8.930694e-3
36;10703;8192;550;63036;356870;3143869;286362;572724;3787101;0;10873;7569822;3.257544528993775e8;1.119213e-2;9.4456543e-1;9.729859e-3
37;10873;8192;573;62889;353173;3111124;282646;565292;3746943;0;10854;7489696;3.277457560149623e8;1.122525e-2;9.25741086e-1;9.420768e-3
38;10854;8192;680;62739;354890;3126954;284626;569252;3766470;0;10841;7536383;3.2455174356411266e8;1.112695e-2;9.37660371e-1;9.315706e-3
39;10841;8192;483;62942;352959;3103901;282130;564260;3738990;0;10663;7476868;3.2719201547256416e8;1.1101049e-2;9.30746002e-1;8.918153e-3
40;10663;8192;638;63025;355880;3130676;285403;570806;3771959;0;10765;7544724;3.247267979580255e8;1.118871e-2;9.34331497e-1;9.517898e-3
41;10765;8192;688;63041;351648;3100256;281204;562408;3733108;0;10866;7472813;3.262557615576862e8;1.1176649e-2;9.27232117e-1;9.031905e-3
42;10866;8192;769;62873;351929;3095805;281797;563594;3729531;0;11030;7458516;3.2579374659121317e8;1.113058e-2;9.41623989e-1;9.321636e-3
43;11030;8192;556;62647;352240;3092780;281340;562680;3726360;0;10413;7448971;3.253258201756011e8;1.1033919e-2;9.2629956e-1;9.419467e-3
44;10413;8192;534;63400;355567;3129187;284895;569790;3769649;0;10799;7540501;3.243585429317913e8;1.1095779e-2;9.47491861e-1;9.099705e-3
45;10799;8192;628;63053;353609;3120311;283380;566760;3757300;0;11187;7513124;3.2575979054088753e8;1.115407e-2;9.37800712e-1;9.266416e-3
46;11187;8192;511;62489;349843;3066925;279175;558350;3695943;0;10689;7392725;3.225316961563643e8;1.1128129e-2;9.20300277e-1;9.173416e-3
47;10689;8192;530;63055;355826;3142611;285691;571382;3784128;0;11271;7570746;3.309751244429236e8;1.1608472e-2;9.44600201e-1;8.900384e-3
48;11271;8192;817;62439;355629;3131042;285549;571098;3772220;0;11005;7543901;3.307990814360706e8;1.1078939e-2;9.40169699e-1;9.028974e-3
49;11005;8192;578;62707;351934;3090011;281099;562198;3723044;0;10491;7445010;3.26851185242529e8;1.11405e-2;9.17004073e-1;9.248936e-3
