Timer Name;#calls;Shortest(µs);Average(µs);Longest(µs);Total(µs);Efficiency(%)
Section::Main                 ;1;7.655882e6;7.655882e6;7.655882e6;7.655882e6;100.0
Section::PopulationControl    ;10;8.034e3;1.0489e4;1.5947e4;1.04892e5;65.8
Section::CycleTracking        ;10;7.42614e5;7.54227e5;7.63151e5;7.542276e6;98.8
Section::CycleTrackingKernel  ;10;7.42613e5;7.54226e5;7.6315e5;7.542267e6;98.8
Section::CycleTrackingComm    ;10;0e0;0e0;0e0;1e0;32.0
Section::CycleSync            ;11;3.51e2;7.91e2;1.061e3;7.913e3;74.5
