cycle;start;source;rr;split;absorb;scatter;fission;produce;collision;escape;census;num_seg;scalar_flux;ppControl(s);cycleTracking(s);cycleSync(s)
42;5432;4096;221;31399;174836;1537749;139681;279362;1852266;0;5551;3702314;1.613546539601494e8;6.476955e-3;4.853795495e0;6.370964e-3
43;5551;4096;247;31251;178224;1565668;142746;285492;1886638;0;5173;3772382;1.643646782176011e8;6.460124e-3;4.955798995e0;6.433955e-3
44;5173;4096;372;31705;177880;1565700;142840;285680;1886420;0;5562;3772357;1.6126689315319327e8;6.509815e-3;4.945855768e0;6.323063e-3
45;5562;4096;379;31386;173702;1525163;138321;276642;1837186;0;5284;3674183;1.5990187949520493e8;6.451991e-3;4.82437704e0;6.345722e-3
46;5284;4096;162;31574;173931;1526315;138663;277326;1838909;0;5524;3679423;1.608859030697421e8;6.466137e-3;4.818193059e0;6.343569e-3
47;5524;4096;233;31300;178337;1574932;143390;286780;1896659;0;5740;3793935;1.6588164094551408e8;6.827407e-3;4.960760759e0;6.323511e-3
48;5740;4096;352;31165;179189;1580306;144120;288240;1903615;0;5580;3807683;1.6714942733631232e8;6.433148e-3;4.989107488e0;6.345374e-3
49;5580;4096;158;31320;177513;1560070;141974;283948;1879557;0;5299;3759743;1.6486935606194225e8;6.44001e-3;4.931452534e0;6.349055e-3
50;5299;4096;261;31427;173660;1532157;138865;277730;1844682;0;5766;3689838;1.627445919864633e8;6.463451e-3;4.855475671e0;6.361754e-3
51;5766;4096;189;31094;174731;1532209;138972;277944;1845912;0;5008;3689013;1.6151805287141788e8;6.506177e-3;4.843181562e0;6.437319e-3
52;5008;4096;300;31845;177070;1563622;141945;283890;1882637;0;5524;3768442;1.616342344207281e8;6.610539e-3;4.935453901e0;6.362406e-3
53;5524;4096;337;31388;177652;1562744;142475;284950;1882871;0;5494;3764836;1.656902758797589e8;6.4458e-3;4.926692602e0;6.355438e-3
54;5494;4096;189;31370;177177;1559866;142009;284018;1879052;0;5603;3755707;1.649156010586372e8;6.469609e-3;4.914358147e0;6.362116e-3
55;5603;4096;384;31291;172302;1505238;136899;273798;1814439;0;5203;3629702;1.6074987463309738e8;6.583343e-3;4.765956947e0;6.36387e-3
56;5203;4096;299;31690;174862;1536091;139654;279308;1850607;0;5482;3701094;1.62912848097179e8;6.480465e-3;4.89795554e0;6.360624e-3
57;5482;4096;301;31400;175027;1535588;139798;279596;1850413;0;5448;3700005;1.6069814415929368e8;6.526891e-3;4.85253394e0;6.407464e-3
58;5448;4096;319;31447;176320;1549585;140980;281960;1866885;0;5332;3734455;1.6214773884549272e8;6.80019e-3;4.919062989e0;6.333964e-3
59;5332;4096;251;31507;174207;1528915;138916;277832;1842038;0;5393;3685143;1.5972037235973373e8;6.474182e-3;4.824858446e0;6.381931e-3
60;5393;4096;267;31516;177923;1563878;142621;285242;1884422;0;5436;3768709;1.633353723084628e8;6.490895e-3;4.935537522e0;6.406454e-3
61;5436;4096;169;31497;171256;1496699;135534;271068;1803489;0;5138;3607648;1.6000810720838228e8;6.472097e-3;4.7244100719999995e0;6.355282e-3
62;5138;4096;229;31769;174340;1531734;138805;277610;1844879;0;5239;3686863;1.614431545526596e8;6.464897e-3;4.843118456e0;6.343617e-3
63;5239;4096;152;31612;174504;1529983;139180;278360;1843667;0;5471;3687268;1.5745071565576687e8;6.514723e-3;4.830853793e0;6.4043e-3
64;5471;4096;275;31343;173176;1518138;137847;275694;1829161;0;5306;3658940;1.601449040170743e8;6.440769e-3;4.799965525e0;6.334126e-3
65;5306;4096;384;31583;177501;1566706;142276;284552;1886483;0;5376;3773203;1.618553010138643e8;6.433988e-3;4.941825177e0;6.35217e-3
66;5376;4096;208;31463;176735;1551481;141288;282576;1869504;0;5280;3738904;1.6290200705130827e8;6.45224e-3;4.903554501e0;6.342133e-3
