n_particles,PopulationControlAvg,CycleTrackingAvg,CycleSyncAvg
10000,1733,204497,1065
20000,3243,398999,1081
30000,5025,596414,1946
40000,6465,786202,1936
50000,7854,973577,1128
60000,9383,1167465,1163
70000,10846,1361916,1224
80000,12561,1556930,1173
90000,14369,1755171,1155
100000,15823,1944165,1161
