cycle;start;source;rr;split;absorb;scatter;fission;produce;collision;escape;census;num_seg;scalar_flux;ppControl(s);cycleTracking(s);cycleSync(s)
46;5284;4096;162;31574;173931;1526315;138663;277326;1838909;0;5524;3679423;0e0;6.582194e-3;1.414635898e0;6.688969e-3
47;5524;4096;233;31300;178337;1574932;143390;286780;1896659;0;5740;3793935;0e0;6.604946e-3;1.45594227e0;6.586608e-3
48;5740;4096;352;31165;179189;1580306;144120;288240;1903615;0;5580;3807683;0e0;6.591814e-3;1.467771923e0;6.55984e-3
49;5580;4096;158;31320;177513;1560070;141974;283948;1879557;0;5299;3759743;0e0;6.574175e-3;1.444207168e0;9.60786e-3
50;5299;4096;261;31427;173660;1532157;138865;277730;1844682;0;5766;3689838;0e0;6.50772e-3;1.417990129e0;6.389653e-3
51;5766;4096;189;31094;174731;1532209;138972;277944;1845912;0;5008;3689013;0e0;6.682444e-3;1.422974983e0;6.562657e-3
52;5008;4096;300;31845;177070;1563622;141945;283890;1882637;0;5524;3768442;0e0;6.607963e-3;1.4453451990000001e0;6.41806e-3
53;5524;4096;337;31388;177652;1562744;142475;284950;1882871;0;5494;3764836;0e0;6.741971e-3;1.449871937e0;6.524221e-3
54;5494;4096;189;31370;177177;1559866;142009;284018;1879052;0;5603;3755707;0e0;6.525426e-3;1.441024198e0;6.402125e-3
55;5603;4096;384;31291;172302;1505238;136899;273798;1814439;0;5203;3629702;0e0;6.908652e-3;1.397465272e0;6.812292e-3
56;5203;4096;299;31690;174862;1536091;139654;279308;1850607;0;5482;3701094;0e0;6.62304e-3;1.420021768e0;6.502423e-3
57;5482;4096;301;31400;175027;1535588;139798;279596;1850413;0;5448;3700005;0e0;6.603971e-3;1.420340649e0;6.494128e-3
58;5448;4096;319;31447;176320;1549585;140980;281960;1866885;0;5332;3734455;0e0;6.583657e-3;1.436720859e0;6.404877e-3
59;5332;4096;251;31507;174207;1528915;138916;277832;1842038;0;5393;3685143;0e0;6.572242e-3;1.414729868e0;6.48734e-3
60;5393;4096;267;31516;177923;1563878;142621;285242;1884422;0;5436;3768709;0e0;6.53208e-3;1.453473671e0;6.602052e-3
61;5436;4096;169;31497;171256;1496699;135534;271068;1803489;0;5138;3607648;0e0;6.60189e-3;1.385728684e0;6.490879e-3
62;5138;4096;229;31769;174340;1531734;138805;277610;1844879;0;5239;3686863;0e0;6.509176e-3;1.416538306e0;6.387755e-3
63;5239;4096;152;31612;174504;1529983;139180;278360;1843667;0;5471;3687268;0e0;6.537637e-3;1.41809874e0;6.4957e-3
64;5471;4096;275;31343;173176;1518138;137847;275694;1829161;0;5306;3658940;0e0;6.537625e-3;1.405112132e0;6.434064e-3
65;5306;4096;384;31583;177501;1566706;142276;284552;1886483;0;5376;3773203;0e0;6.692493e-3;1.451251596e0;6.534547e-3
66;5376;4096;208;31463;176735;1551481;141288;282576;1869504;0;5280;3738904;0e0;6.546319e-3;1.434831041e0;6.401583e-3
67;5280;4096;277;31676;173387;1520062;138079;276158;1831528;0;5467;3663610;0e0;6.6465e-3;1.407364795e0;6.394891e-3
68;5467;4096;320;31432;178194;1567365;142894;285788;1888453;0;5375;3778551;0e0;6.50415e-3;1.45345162e0;6.398612e-3
69;5375;4096;415;31407;173757;1529768;138786;277572;1842311;0;5492;3682431;0e0;6.646725e-3;1.416669387e0;6.727616e-3
70;5492;4096;229;31387;176909;1555844;141487;282974;1874240;0;5324;3749960;0e0;6.574439e-3;1.440111552e0;6.397811e-3
71;5324;4096;361;31512;176146;1550275;141199;282398;1867620;0;5624;3737529;0e0;6.646752e-3;1.434718314e0;6.398584e-3
72;5624;4096;443;31266;177545;1563962;142142;284284;1883649;0;5140;3762487;0e0;6.743237e-3;1.45022856e0;6.611414e-3
73;5140;4096;245;31766;178191;1569969;142972;285944;1891132;0;5538;3782784;0e0;6.557151e-3;1.451345071e0;6.430325e-3
74;5538;4096;147;31333;178991;1577581;143574;287148;1900146;0;5403;3797521;0e0;6.604949e-3;1.4579317459999999e0;6.566756e-3
75;5403;4096;214;31370;179507;1586592;144469;288938;1910568;0;5617;3822469;0e0;6.533487e-3;1.469237701e0;6.433872e-3
76;5617;4096;475;31221;179012;1581063;144106;288212;1904181;0;5553;3808055;0e0;6.60101e-3;1.464591648e0;6.405789e-3
