cycle;start;source;rr;split;absorb;scatter;fission;produce;collision;escape;census;num_seg;scalar_flux;ppControl(s);cycleTracking(s);cycleSync(s)
0;0;262144;0;2359296;9839714;89489043;7869362;15738724;107198119;0;651088;215372538;7.884789564625204e9;4.77630542e-1;1.1309124807e1;6.131539e-2
1;651088;262144;0;1707534;11808777;103224697;9448156;18896312;124481630;0;260145;248761510;1.0271391483855299e10;3.52968806e-1;1.0937149968e1;2.12492223e-1
2;260145;262144;0;2099225;11177559;98548564;8940280;17880560;118666403;0;384235;237470942;1.034414402145071e10;3.94231997e-1;9.221399008e0;1.98284602e-1
3;384235;262144;0;1975065;11431647;100346898;9141993;18283986;120920538;0;331790;241817695;1.0361426991318348e10;3.52301174e-1;9.451368693e0;2.02285514e-1
4;331790;262144;31070;2027242;11179576;98320217;8935322;17870644;118435115;0;345852;236881057;1.0330901304245773e10;2.68740279e-1;9.237158414e0;1.41906757e-1
5;345852;262144;12390;2013221;11293955;99249161;9029513;18059026;119572629;0;344385;239175863;1.0313150252145287e10;3.13752311e-1;9.346563837e0;1.42696099e-1
6;344385;262144;19073;2014776;11269858;99038557;9011298;18022596;119319713;0;343672;238658838;1.0352645517031374e10;3.27795895e-1;9.080691802e0;1.49099465e-1
7;343672;262144;17414;2016027;11313238;99507844;9054262;18108524;119875344;0;345453;239754180;1.0397508330685495e10;2.57190481e-1;9.188354656e0;1.39264783e-1
8;345453;262144;18693;2013643;11294699;99319937;9035116;18070232;119649752;0;342964;239318571;1.0391270346022705e10;2.55874668e-1;9.108208842e0;1.39230084e-1
9;342964;262144;17729;2016406;11331575;99646725;9072518;18145036;120050818;0;344728;240114852;1.0391124063132128e10;2.94099722e-1;9.188467586e0;1.42165789e-1
10;344728;262144;17258;2014960;11285780;99231749;9026253;18052506;119543782;0;345047;239098530;1.033610043207048e10;3.40303342e-1;9.095272364e0;1.41249968e-1
11;345047;262144;17919;2014199;11295258;99316680;9036890;18073780;119648828;0;345103;239297922;1.0371664445009989e10;2.58544144e-1;9.068861901e0;1.39305523e-1
12;345103;262144;17069;2014198;11338162;99717288;9077200;18154400;120132650;0;343414;240264138;1.0384846429632212e10;2.55492971e-1;9.172449044e0;1.384825e-1
13;343414;262144;19247;2015669;11276790;99114613;9018179;18036358;119409582;0;343369;238809404;1.0343195247473272e10;2.55396421e-1;9.138505117e0;1.37996879e-1
14;343369;262144;16864;2015619;11310399;99460722;9052312;18104624;119823433;0;346181;239652871;1.0367126057284702e10;2.5477324e-1;9.140509789e0;1.3850565e-1
15;346181;262144;17809;2013177;11253097;98916533;8992884;17985768;119162514;0;343480;238323172;1.0356800188742151e10;2.55823162e-1;9.099325036e0;1.38460029e-1
16;343480;262144;17194;2015737;11274891;99105862;9014303;18028606;119395056;0;343579;238793766;1.0329392843322395e10;2.58925894e-1;9.066531628e0;1.3928372e-1
17;343579;262144;16593;2015989;11311568;99451439;9051725;18103450;119814732;0;345276;239653708;1.0390639701499277e10;2.56550834e-1;9.131997002e0;1.39009464e-1
18;345276;262144;16522;2013851;11295043;99312469;9035167;18070334;119642679;0;344873;239275086;1.0365961741043203e10;2.57327467e-1;8.846982916e0;1.38571613e-1
19;344873;262144;18438;2014801;11281792;99186119;9026308;18052616;119494219;0;347896;239008427;1.035883028621613e10;2.57132514e-1;8.867977376e0;1.3869755e-1
