cycle;start;source;rr;split;absorb;scatter;fission;produce;collision;escape;census;num_seg;scalar_flux;ppControl(s);cycleTracking(s);cycleSync(s)
0;0;131072;0;1179648;4927602;44819090;3943369;7886738;53690061;0;326487;107882082;3.9498650119591894e9;2.38619753e-1;5.960511877e0;3.0510054e-2
1;326487;131072;0;852580;5904433;51623351;4724514;9449028;62252298;0;130220;124397456;5.128678426339616e9;1.5096979e-1;7.129321573e0;1.05179072e-1
2;130220;131072;0;1049414;5573319;49113846;4454407;8908814;59141572;0;191794;118354190;5.16295297496085e9;1.81106703e-1;6.532756876e0;1.01697033e-1
3;191794;131072;0;987889;5712011;50120182;4566889;9133778;60399082;0;165633;120788867;5.173568905348429e9;1.66982054e-1;6.71415587e0;1.02079124e-1
4;165633;131072;16042;1014016;5588419;49155507;4466404;8932808;59210330;0;172664;118441918;5.157619871311867e9;1.95979104e-1;6.575200414e0;1.05114162e-1
5;172664;131072;5661;1007059;5661860;49764975;4529756;9059512;59956591;0;173030;119931901;5.180491929833459e9;1.79833179e-1;6.669391436e0;1.01614373e-1
6;173030;131072;9378;1006873;5636611;49501696;4505388;9010776;59643695;0;170374;119303049;5.168672889194182e9;1.78759006e-1;6.595391671e0;1.01403142e-1
7;170374;131072;9148;1009739;5652394;49720285;4523297;9046594;59895976;0;172940;119806619;5.201563306971446e9;1.78972197e-1;6.655654368e0;1.01549752e-1
8;172940;131072;9625;1006531;5651318;49678073;4521011;9042022;59850402;0;170611;119719793;5.192632262717128e9;2.1235145e-1;6.679836381e0;1.01515802e-1
9;170611;131072;8980;1008862;5662487;49827745;4534946;9069892;60025178;0;174024;120055872;5.184541478386459e9;1.76506245e-1;6.653613121e0;1.0170805e-1
10;174024;131072;9189;1005902;5640703;49592525;4511390;9022780;59744618;0;172496;119490142;5.169579859223766e9;1.7512841e-1;6.762573693e0;1.0167529e-1
11;172496;131072;9247;1007476;5643421;49602643;4513928;9027856;59759992;0;172304;119521090;5.177789533969637e9;1.74858919e-1;6.682021402e0;1.0150164e-1
12;172304;131072;8655;1007293;5673330;49941189;4544548;9089096;60159067;0;173232;120323223;5.1987846689198475e9;2.04132773e-1;6.830638557e0;1.01542371e-1
13;173232;131072;9828;1006417;5640038;49549301;4509058;9018116;59698397;0;169913;119384193;5.193301255150521e9;1.83514055e-1;6.712580729e0;1.02506762e-1
14;169913;131072;8303;1009664;5662369;49806282;4533984;9067968;60002635;0;173961;120011516;5.179971099390589e9;1.76598515e-1;6.730546761e0;1.016009e-1
