cycle;start;source;rr;split;absorb;scatter;fission;produce;collision;escape;census;num_seg;scalar_flux;ppControl(s);cycleTracking(s);cycleSync(s)
0;0;4096;0;36864;154707;1408830;124185;248370;1687722;0;10438;3392593;1.243406634645462e8;5.513513e-3;1.878353997e0;5.44472e-4
1;10438;4096;0;26438;183799;1605682;146693;293386;1936174;0;3866;3865559;1.585038206459939e8;3.270448e-3;2.163978862e0;5.565884e-3
2;3866;4096;0;33010;171783;1512653;136828;273656;1821264;0;6017;3648944;1.5640379007569048e8;3.386898e-3;2.079899921e0;3.030178e-3
3;6017;4096;0;30841;178809;1566842;143287;286574;1888938;0;5432;3779548;1.6381325306493416e8;8.584221e-3;2.172927725e0;3.67579e-3
4;5432;4096;380;31492;178066;1570321;142603;285206;1890990;0;5177;3782522;1.6470842534326592e8;6.108825e-3;2.600091985e0;4.998952e-3
5;5177;4096;48;31693;176614;1553914;141209;282418;1871737;0;5513;3746309;1.590727062910603e8;5.442263e-3;2.576498676e0;3.7309e-3
6;5513;4096;190;31329;177471;1559110;141882;283764;1878463;0;5159;3756829;1.6134272158125064e8;6.362106e-3;2.4010557759999998e0;4.952662e-3
7;5159;4096;217;31719;173108;1517303;137766;275532;1828177;0;5415;3656578;1.5746420304338688e8;5.327733e-3;2.341726268e0;3.104378e-3
8;5415;4096;385;31411;177985;1565481;142784;285568;1886250;0;5336;3775419;1.625913788337232e8;5.272153e-3;2.40652396e0;3.045737e-3
9;5336;4096;256;31490;181277;1602776;146073;292146;1930126;0;5462;3861393;1.6199767508352637e8;5.243053e-3;2.455569232e0;3.003638e-3
10;5462;4096;288;31415;177409;1563137;142357;284714;1882903;0;5633;3765652;1.6304660602982673e8;5.277433e-3;2.389142417e0;3.082218e-3
11;5633;4096;317;31280;179148;1583128;143899;287798;1906175;0;5443;3812234;1.646089259154885e8;5.315153e-3;2.420185874e0;2.920877e-3
12;5443;4096;322;31457;174239;1531458;139131;278262;1844828;0;5566;3691209;1.5909916239127168e8;5.227163e-3;2.341637967e0;2.969138e-3
13;5566;4096;372;31297;175457;1541523;140260;280520;1857240;0;5390;3714748;1.62312441956347e8;5.115102e-3;2.360976306e0;3.033088e-3
14;5390;4096;388;31511;178713;1580814;143676;287352;1903203;0;5572;3806125;1.6642583000233528e8;5.292534e-3;2.411164971e0;2.935087e-3
15;5572;4096;281;31275;174212;1528725;139086;278172;1842023;0;5536;3687297;1.6046812767979988e8;5.178683e-3;2.333141256e0;2.921197e-3
16;5536;4096;257;31328;179009;1576929;143682;287364;1899620;0;5376;3799640;1.6364975630698457e8;5.220633e-3;2.4027364e0;3.005458e-3
17;5376;4096;156;31460;174456;1531470;138851;277702;1844777;0;5171;3692319;1.5694585427842337e8;5.132653e-3;2.330866712e0;3.103238e-3
18;5171;4096;342;31681;175928;1547630;140753;281506;1864311;0;5431;3727856;1.616424707964461e8;5.152543e-3;2.357439326e0;3.135608e-3
19;5431;4096;325;31532;178796;1570020;143375;286750;1892191;0;5313;3786618;1.626914385604819e8;5.131983e-3;2.392768793e0;2.902237e-3
20;5313;4096;138;31425;178599;1570774;143525;287050;1892898;0;5622;3788937;1.6299200930091828e8;5.189353e-3;2.392855614e0;2.921597e-3
21;5622;4096;260;31238;181015;1597124;145806;291612;1923945;0;5487;3848780;1.6591084529996789e8;5.161993e-3;2.430294777e0;3.056347e-3
22;5487;4096;170;31356;179509;1579514;143942;287884;1902965;0;5202;3805903;1.667455500115332e8;5.250993e-3;2.40336247e0;3.002677e-3
23;5202;4096;152;31707;176106;1542067;140405;280810;1858578;0;5152;3715906;1.6036596485869867e8;5.167963e-3;2.350032278e0;2.998927e-3
24;5152;4096;265;31655;173607;1525073;138533;277066;1837213;0;5564;3673520;1.6001768932724416e8;5.167973e-3;2.319425592e0;2.989937e-3
25;5564;4096;221;31274;176311;1549811;140940;281880;1867062;0;5342;3733424;1.612602191219512e8;5.131593e-3;2.359566142e0;2.875981e-2
26;5342;4096;265;31549;175451;1542608;139911;279822;1857970;0;5182;3716006;1.624167788454894e8;5.118102e-3;2.348630204e0;3.143438e-3
27;5182;4096;128;31729;173314;1521723;137756;275512;1832793;0;5321;3664389;1.5987724419834e8;5.179433e-3;2.314558649e0;3.080388e-3
28;5321;4096;194;31562;172238;1503259;136762;273524;1812259;0;5309;3623972;1.5744066598394486e8;5.224873e-3;2.293986098e0;3.048428e-3
29;5309;4096;387;31627;174372;1531529;139240;278480;1845141;0;5513;3690592;1.604429097085672e8;5.239713e-3;2.330510469e0;3.024738e-3
30;5513;4096;239;31313;177381;1559018;142031;284062;1878430;0;5333;3758904;1.6585527880724055e8;5.181492e-3;2.375968462e0;3.070588e-3
31;5333;4096;302;31521;179739;1584830;144555;289110;1909124;0;5464;3817046;1.6184307537970775e8;5.203722e-3;2.4093961950000002e0;2.928458e-3
