Timer Name;#calls;Shortest(µs);Average(µs);Longest(µs);Total(µs);Efficiency(%)
Section::Main                 ;1;3.480073892e9;3.480073892e9;3.480073892e9;3.480073892e9;100.0
Section::PopulationControl    ;100;1.186032e6;1.629895e6;2.409597e6;1.6298958e8;67.6
Section::CycleTracking        ;100;2.9545132e7;3.2453093e7;5.2523634e7;3.245309395e9;61.8
Section::CycleTrackingProcess ;4136;1.4860786e7;1.6927665e7;4.1308819e7;1.692766597e9;41.0
Section::CycleTrackingSort    ;4136;1.0769769e7;1.4856293e7;1.7590009e7;1.485629349e9;84.5
Section::CycleSync            ;101;1.54753e5;7.09889e5;8.54492e5;7.098893e7;83.1
