cycle;start;source;rr;split;absorb;scatter;fission;produce;collision;escape;census;num_seg;scalar_flux;ppControl(s);cycleTracking(s);cycleSync(s)
0;0;32768;0;294912;1229956;11179586;983980;1967960;13393522;0;81704;26910043;9.853335489494145e8;6.0298504e-2;3.975947016e0;7.626025e-3
1;81704;32768;0;212983;1477814;12906196;1183121;2366242;15567131;0;32762;31110894;1.2798378221952221e9;4.645637e-2;4.448445042e0;3.1200651e-2
2;32762;32768;0;262143;1384012;12179981;1103847;2207694;14667840;0;47508;29350903;1.285204614809418e9;3.9464397e-2;4.185834224e0;2.7026207e-2
3;47508;32768;0;247400;1427361;12534144;1142084;2284168;15103589;0;42399;30204473;1.290282269875292e9;4.8301086e-2;4.30858672e0;2.8099731e-2
4;42399;32768;4502;252525;1398635;12300032;1118247;2236494;14816914;0;42802;29632423;1.2971482854212487e9;4.4208603e-2;4.235952406e0;2.7419898e-2
5;42802;32768;1432;252012;1408646;12379958;1126297;2252594;14914901;0;43801;29830261;1.2962661618330317e9;4.1577015e-2;4.264155106e0;2.7171477e-2
6;43801;32768;2491;251120;1414148;12425398;1131364;2262728;14970910;0;42414;29942967;1.2960120017073956e9;4.1671315e-2;4.273554417e0;2.7121048e-2
7;42414;32768;2272;252510;1418091;12484887;1136072;2272144;15039050;0;43401;30084433;1.3070704538894293e9;5.0730664e-2;4.273076845e0;2.7677829e-2
8;43401;32768;2824;251441;1414957;12448920;1133065;2266130;14996942;0;42894;29998960;1.3064725945192006e9;4.1607955e-2;4.253945863e0;2.7257048e-2
9;42894;32768;2519;251882;1415161;12439316;1132807;2265614;14987284;0;42671;29970130;1.2909645368206062e9;4.1484864e-2;4.276873148e0;2.7271278e-2
10;42671;32768;2440;252153;1403568;12325624;1121229;2242458;14850421;0;42813;29697825;1.280635427108978e9;4.1502044e-2;4.252095097e0;2.7182598e-2
11;42813;32768;1944;252327;1426907;12568712;1144913;2289826;15140532;0;43970;30280443;1.3077058819269662e9;4.1571254e-2;4.316180984e0;2.7881611e-2
12;43970;32768;2221;250932;1405884;12355950;1123368;2246736;14885202;0;42933;29773693;1.2938314151091092e9;4.1454384e-2;4.230971359e0;2.7008288e-2
13;42933;32768;2372;252088;1417906;12463727;1135089;2270178;15016722;0;42600;30035632;1.3046277103363385e9;4.5197586e-2;4.302024809e0;2.7088297e-2
14;42600;32768;2106;252379;1418169;12491229;1136321;2272642;15045719;0;43793;30096946;1.293900606889463e9;4.2669608e-2;4.307361116e0;2.7380799e-2
15;43793;32768;2432;251099;1392571;12218396;1109860;2219720;14720827;0;42517;29437165;1.278080289841017e9;4.319166e-2;4.170403353e0;2.7343138e-2
16;42517;32768;1881;252481;1413109;12419172;1129876;2259752;14962157;0;42652;29925968;1.289619305994188e9;4.2526557e-2;4.270158546e0;2.7410059e-2
17;42652;32768;1771;252258;1409509;12374027;1126513;2253026;14910049;0;42911;29826447;1.28882050126925e9;4.2814178e-2;4.23427426e0;2.7442349e-2
18;42911;32768;2052;251968;1413574;12425090;1131067;2262134;14969731;0;43088;29936048;1.2895504691852863e9;4.2531978e-2;4.24057814e0;2.7294258e-2
19;43088;32768;2182;251892;1413175;12424090;1130767;2261534;14968032;0;43158;29933449;1.293162585137268e9;4.2799808e-2;4.243739231e0;2.7218538e-2
20;43158;32768;1933;251573;1413158;12406466;1130650;2261300;14950274;0;43058;29906464;1.2897170470743778e9;4.3103269e-2;4.264254897e0;2.7284528e-2
21;43058;32768;2219;251710;1415630;12456355;1133575;2267150;15005560;0;43262;30020991;1.301202543473396e9;4.2691708e-2;4.294111913e0;2.7211008e-2
22;43262;32768;1802;251584;1425023;12548370;1142190;2284380;15115583;0;42979;30235411;1.306233616218107e9;4.2756678e-2;4.323624248e0;2.7310599e-2
