cycle;start;source;rr;split;absorb;scatter;fission;produce;collision;escape;census;num_seg;scalar_flux;ppControl(s);cycleTracking(s);cycleSync(s)
0;0;147456;0;1327104;5540901;50401509;4434747;8869494;60377157;0;368406;121318292;4.441823873752503e9;2.67369469e-1;6.684759263e0;3.4535934e-2
1;368406;147456;0;958071;6638800;58029932;5311070;10622140;69979802;0;146203;139841689;5.775198209146057e9;1.70604693e-1;7.614797757e0;1.19812406e-1
2;146203;147456;0;1180934;6276523;55323065;5017642;10035284;66617230;0;215712;133304667;5.811624713872153e9;1.98764085e-1;7.119662488e0;1.13920504e-1
3;215712;147456;0;1111456;6420793;56336734;5132422;10264844;67889949;0;186253;135772749;5.813128758068981e9;1.80871499e-1;7.280187135e0;1.14650806e-1
4;186253;147456;17938;1140826;6288511;55316642;5026084;10052168;66631237;0;194170;133282999;5.802300215028288e9;1.93818786e-1;7.272283778e0;1.14422519e-1
5;194170;147456;6491;1132985;6371229;56000783;5097946;10195892;67469958;0;194837;134965703;5.824542259426825e9;2.22862435e-1;7.214660735e0;1.15293833e-1
6;194837;147456;10583;1132349;6339445;55688554;5068013;10136026;67096012;0;192627;134212561;5.820436399630707e9;1.93716476e-1;7.210662984e0;1.14662532e-1
7;192627;147456;10067;1135008;6367152;56004145;5096179;10192358;67467476;0;194051;134945294;5.8587992033798e9;1.92686303e-1;7.411837261e0;1.1433904e-1
8;194051;147456;10821;1133117;6362019;55936058;5091031;10182062;67389108;0;192815;134799246;5.842892162544999e9;1.97798377e-1;7.472246325e0;1.1420716e-1
9;192815;147456;10043;1134082;6376682;56100780;5107330;10214660;67584792;0;194958;135167775;5.841415623066323e9;2.80382821e-1;7.453572261e0;1.16731337e-1
10;194958;147456;10343;1132488;6342982;55773305;5073057;10146114;67189344;0;194634;134389814;5.814813266038925e9;1.96560626e-1;7.376466345e0;1.14461364e-1
11;194634;147456;10144;1132676;6347947;55794727;5076833;10153666;67219507;0;193508;134439166;5.83335308082092e9;1.95979264e-1;7.355953925e0;1.14880615e-1
12;193508;147456;9641;1133741;6378469;56125045;5107299;10214598;67610813;0;193894;135228097;5.841653045498981e9;1.95915644e-1;7.3959583030000005e0;1.14300404e-1
13;193894;147456;10924;1133214;6334658;55645625;5062445;10124890;67042728;0;191427;134067237;5.820650486434955e9;1.96078734e-1;7.336718947e0;1.14538095e-1
14;191427;147456;9203;1135624;6366221;55981587;5096129;10192258;67443937;0;195212;134893646;5.821308947351712e9;2.12252306e-1;7.38431786e0;1.17682261e-1
15;195212;147456;9620;1131870;6322551;55565984;5050103;10100206;66938638;0;192470;133863789;5.810959196498562e9;1.99535231e-1;7.335957945e0;1.14519075e-1
16;192470;147456;10516;1134600;6347177;55805698;5076964;10153928;67229839;0;193797;134458763;5.814981526072951e9;1.96475595e-1;7.433521327e0;1.14645915e-1
17;193797;147456;9285;1132956;6373714;56053753;5102730;10205460;67530197;0;193940;135074969;5.850291971261995e9;1.95620554e-1;7.404116141e0;1.14476514e-1
18;193940;147456;9375;1133251;6346836;55798998;5075472;10150944;67221306;0;193908;134444562;5.829678760409411e9;1.97792608e-1;7.392989872e0;1.14602116e-1
