cycle;start;source;rr;split;absorb;scatter;fission;produce;collision;escape;census;num_seg;scalar_flux;ppControl(s);cycleTracking(s);cycleSync(s)
0;0;524288;0;4718592;19684292;179048436;15744603;31489206;214477331;0;1303191;430902146;1.5775352386220894e10;9.52565776e-1;1.9814671718e1;1.2332753e-1
1;1303191;524288;0;3414886;23632611;206527208;18909935;37819870;249069754;0;519689;497743264;2.054424501997441e10;7.45681675e-1;2.2896673799e1;4.47361165e-1
2;519689;524288;0;4199037;22373807;197327123;17900174;35800348;237601104;0;769381;475444406;2.0719115449439617e10;6.70824067e-1;1.9013143247e1;3.9784246e-1
3;769381;524288;0;3949387;22896477;201029275;18317654;36635308;242243406;0;664233;484430791;2.0757098985693035e10;7.48878911e-1;1.9316282535e1;3.98007088e-1
4;664233;524288;62928;4054189;22387570;196935503;17903762;35807524;237226835;0;695974;474489070;2.0721689040292377e10;7.42450523e-1;1.8722842488e1;3.96727714e-1
5;695974;524288;25821;4022181;22611929;198720956;18084289;36168578;239417174;0;688982;478876263;2.0703570424219193e10;7.14782154e-1;1.8842974421e1;3.96918064e-1
6;688982;524288;38564;4029414;22551553;198216115;18037359;36074718;238805027;0;689926;477648258;2.075848438751653e10;7.15532867e-1;1.8361474044e1;3.96922351e-1
7;689926;524288;34728;4029279;22617188;198892086;18096560;36193120;239605834;0;688137;479234345;2.07951726500694e10;7.50347606e-1;1.8274651984e1;4.01257373e-1
8;688137;524288;36053;4029914;22589994;198647078;18070986;36141972;239308058;0;687278;478649407;2.075953379006951e10;7.1292709e-1;1.831781795e1;3.97172021e-1
9;687278;524288;34307;4030954;22637609;199014798;18116991;36233982;239769398;0;687595;479547261;2.073876756158235e10;7.10812299e-1;1.7923380064e1;3.96752815e-1
10;687595;524288;35055;4031356;22582752;198621116;18066252;36132504;239270120;0;691684;478564957;2.0704458951310795e10;7.3348418e-1;1.7800979891e1;3.96534432e-1
11;691684;524288;35191;4027031;22605058;198730347;18086766;36173532;239422171;0;689520;478861616;2.074724747802037e10;8.20760918e-1;1.7617978232e1;4.05703357e-1
12;689520;524288;34456;4028870;22634662;199052033;18114419;36228838;239801114;0;687979;479569359;2.0764154137949467e10;7.41375203e-1;1.759013055e1;3.96177752e-1
13;687979;524288;36720;4031300;22583408;198550668;18064045;36128090;239198121;0;687484;478381089;2.0745587208929703e10;7.42794835e-1;1.763920703e1;3.97590396e-1
14;687484;524288;34262;4030781;22629713;199037716;18114060;36228120;239781489;0;692638;479561441;2.0732749067682976e10;7.42642474e-1;1.7693274232e1;3.96822461e-1
15;692638;524288;34836;4025341;22529000;198039164;18009738;36019476;238577902;0;688169;477141830;2.0712659599184612e10;7.40081008e-1;1.7326001571e1;3.97382887e-1
16;688169;524288;34293;4030526;22566867;198364387;18046148;36092296;238977402;0;687971;477951632;2.068410706005991e10;7.46013583e-1;1.7081755974e1;3.96150408e-1
17;687971;524288;33638;4030591;22601278;198717309;18082384;36164768;239400971;0;690318;478850163;2.077401222026399e10;8.51932605e-1;1.698445674e1;4.02605046e-1
18;690318;524288;34108;4027532;22587809;198611330;18070443;36140886;239269582;0;690664;478548068;2.0757809853610313e10;7.3160683e-1;1.6959347351e1;3.96500499e-1
19;690664;524288;35400;4028302;22577173;198505254;18061845;36123690;239144272;0;692526;478323509;2.0728934802751106e10;7.33026507e-1;1.6943065418e1;3.98595108e-1
20;692526;524288;36089;4025966;22609495;198774459;18091659;36183318;239475613;0;688855;478970946;2.0793432240091557e10;7.34325215e-1;1.703114442e1;3.98337883e-1
21;688855;524288;35705;4029401;22592865;198673732;18076739;36153478;239343336;0;690713;478704049;2.072335183871248e10;7.32291877e-1;1.6826420766e1;3.99118666e-1
22;690713;524288;33886;4027525;22639490;199102185;18121451;36242902;239863126;0;690601;479763544;2.0728179351587467e10;7.31910885e-1;1.6183481419e1;3.96351045e-1
23;690601;524288;35159;4027682;22612693;198815942;18094549;36189098;239523184;0;689268;479069262;2.07676767100674e10;8.35006767e-1;1.6139068166e1;3.97280039e-1
24;689268;524288;34747;4029507;22584793;198587424;18068052;36136104;239240269;0;691575;478473397;2.0778073012085567e10;7.63730656e-1;1.6027646826e1;3.96807019e-1
25;691575;524288;34772;4027513;22584461;198562693;18064686;36129372;239211840;0;688829;478436892;2.0770915417482716e10;7.26198146e-1;1.602338506e1;3.96857719e-1
26;688829;524288;34444;4029916;22573614;198428029;18056136;36112272;239057779;0;691111;478125375;2.076105438720194e10;7.27083307e-1;1.5982484017e1;4.1590548e-1
27;691111;524288;35403;4027467;22590395;198556972;18072794;36145588;239220161;0;689862;478469112;2.0727209126693195e10;7.27724919e-1;1.600872507e1;3.97508212e-1
28;689862;524288;36232;4028161;22523511;197913128;18003652;36007304;238440291;0;686220;476870641;2.0705389155487732e10;7.2864827e-1;1.5719235462e1;3.96516911e-1
29;686220;524288;33721;4032554;22548659;198210952;18028438;36056876;238788049;0;689120;477574497;2.0684775727815964e10;7.38260639e-1;1.5270286308e1;3.99980694e-1
30;689120;524288;34490;4029494;22611547;198865185;18092575;36185150;239569307;0;689440;479180990;2.077125052194621e10;7.62853781e-1;1.4934972183e1;3.96094609e-1
31;689440;524288;35020;4029037;22642804;199093752;18124405;36248810;239860961;0;689346;479722824;2.0796659420904507e10;7.38707913e-1;1.5169275637e1;4.11940636e-1
32;689346;524288;33844;4029321;22561088;198363776;18040314;36080628;238965178;0;688337;477902801;2.0712785285428455e10;6.52481081e-1;1.5857351028e1;2.86924265e-1
33;688337;524288;33575;4030030;22607698;198774971;18091794;36183588;239474463;0;693176;479001194;2.075300564974761e10;5.96879095e-1;1.5896613578e1;2.87925898e-1
34;693176;524288;34926;4025048;22606235;198697074;18082410;36164820;239385719;0;683761;478764069;2.0739924909612743e10;5.98005898e-1;1.5861704708e1;2.87220266e-1
35;683761;524288;36540;4034116;22555347;198273543;18039821;36079642;238868711;0;690099;477764046;2.067326612231141e10;5.98537474e-1;1.5870830897e1;2.89268898e-1
36;690099;524288;35585;4028571;22614040;198901804;18096392;36192784;239612236;0;689725;479267171;2.072757043677549e10;5.99329096e-1;1.5916327201e1;2.88737616e-1
37;689725;524288;35431;4029049;22492713;197682792;17974644;35949288;238150149;0;689562;476280477;2.0634576810870434e10;5.96842728e-1;1.575672581e1;2.87818133e-1
38;689562;524288;35890;4028369;22577166;198486050;18059222;36118444;239122438;0;688385;478241854;2.071018551454923e10;6.01711695e-1;1.5660841454e1;2.87666073e-1
39;688385;524288;35087;4029964;22540148;198110865;18021822;36043644;238672835;0;689224;477333785;2.0685462317493496e10;5.96411816e-1;1.5541123509e1;2.88869399e-1
40;689224;524288;36998;4029576;22608759;198848340;18096193;36192386;239553292;0;693524;479134506;2.0780518664317596e10;5.98008712e-1;1.552557709e1;2.8618611e-1
41;693524;524288;33095;4025273;22618640;198896193;18098249;36196498;239613082;0;689599;479240095;2.0784787173674603e10;7.25385312e-1;1.4505981582e1;3.95383344e-1
42;689599;524288;34300;4029049;22610291;198787905;18091057;36182114;239489253;0;689402;479026714;2.076316782835001e10;7.35680893e-1;1.4509559206e1;4.12129617e-1
43;689402;524288;35055;4028441;22565196;198371707;18051309;36102618;238988212;0;693189;477997172;2.0710189477193977e10;7.53944687e-1;1.446175688e1;3.9524898e-1
44;693189;524288;34388;4025511;22623230;198974177;18102505;36205010;239699912;0;687875;479426229;2.0787704519743458e10;7.17462675e-1;1.4490036497e1;3.94897609e-1
45;687875;524288;35331;4031009;22600875;198755019;18084859;36169718;239440753;0;691825;478881383;2.0742330792724716e10;7.18194708e-1;1.4534016991e1;3.95951791e-1
