Timer Name;#calls;Shortest(µs);Average(µs);Longest(µs);Total(µs);Efficiency(%)
Section::Main                 ;1;3.77601947e8;3.77601947e8;3.77601947e8;3.77601947e8;100.0
Section::PopulationControl    ;100;2.0079e4;2.1325e4;3.0073e4;2.132584e6;70.9
Section::CycleTracking        ;100;3.484486e6;3.738638e6;3.917818e6;3.73863896e8;95.4
Section::CycleTrackingProcess ;3377;3.374947e6;3.600009e6;3.76263e6;3.60000996e8;95.7
Section::CycleTrackingSort    ;3377;9.786e4;1.24434e5;1.39613e5;1.2443461e7;89.1
Section::CycleSync            ;101;3.904e3;1.5903e4;9.1065e4;1.590322e6;17.5
