cycle;start;source;rr;split;absorb;scatter;fission;produce;collision;escape;census;num_seg;scalar_flux;ppControl(s);cycleTracking(s);cycleSync(s)
0;0;65536;0;589824;2455385;22324270;1962968;3925936;26742623;0;162943;53735123;1.967274781934566e9;1.19261605e-1;4.575757563e0;1.5197918e-2
1;162943;65536;0;426701;2963946;25911312;2374147;4748294;31249405;0;65381;62447736;2.560383060676088e9;1.32653796e-1;5.851561585e0;5.8588805e-2
2;65381;65536;0;524404;2771740;24408602;2212357;4424714;29392699;0;95938;58819304;2.5724128938481665e9;8.5571359e-2;5.358372874e0;5.2682505e-2
3;95938;65536;0;493800;2858639;25098521;2287398;4574796;30244558;0;84033;60479476;2.5901390212811117e9;9.7012475e-2;5.566209917e0;5.5098733e-2
4;84033;65536;8116;505764;2791082;24533485;2229325;4458650;29553892;0;85460;59110929;2.58415791238278e9;8.3003521e-2;5.401323408e0;5.2567036e-2
5;85460;65536;2831;504399;2829958;24867933;2264473;4528946;29962364;0;87079;59935224;2.594392196933189e9;8.3354952e-2;5.334441588e0;5.1939784e-2
6;87079;65536;4734;502603;2821855;24768520;2255631;4511262;29846006;0;84260;59698084;2.579058592782977e9;1.47999005e-1;5.104217205e0;5.378771e-2
7;84260;65536;4395;505793;2824370;24844584;2259606;4519212;29928560;0;86430;59867434;2.5944064170215673e9;8.6350142e-2;5.117379896e0;5.2091683e-2
8;86430;65536;5129;503253;2833983;24928008;2269856;4539712;30031847;0;85963;60079448;2.6126042493740497e9;8.576362e-2;5.122656393e0;5.2241044e-2
9;85963;65536;4636;503705;2836095;24955425;2271879;4543758;30063399;0;86352;60125317;2.5978668151528335e9;8.5508089e-2;5.141740963e0;5.2673265e-2
10;86352;65536;4559;503408;2820696;24800516;2256078;4512156;29877290;0;86119;59755426;2.5841086258377786e9;8.6072981e-2;5.103363902e0;5.2310584e-2
11;86119;65536;4703;504164;2830828;24891663;2265807;4531614;29988298;0;86095;59975882;2.5973589748432183e9;8.567594e-2;5.10273369e0;5.2219364e-2
12;86095;65536;4183;503581;2831671;24922994;2267340;4534680;30022005;0;86698;60043138;2.5969243357309875e9;8.5710649e-2;5.119440383e0;5.2652996e-2
13;86698;65536;4236;503276;2826754;24830211;2260728;4521456;29917693;0;85248;59833788;2.598449081553478e9;8.5728919e-2;5.116211445e0;5.2178724e-2
14;85248;65536;4144;504808;2831369;24908255;2266169;4532338;30005793;0;86248;60013918;2.591927098052341e9;9.8532186e-2;5.162594107e0;5.3055101e-2
15;86248;65536;4274;503809;2798891;24581070;2233856;4467712;29613817;0;86284;59228930;2.5720376656100154e9;8.6433745e-2;5.076424323e0;5.2055157e-2
16;86284;65536;4093;503616;2827898;24866263;2262086;4524172;29956247;0;85531;59913994;2.587607218277832e9;8.6107623e-2;5.124190096e0;5.2099368e-2
17;85531;65536;4093;504092;2825075;24820989;2259942;4519884;29906006;0;85933;59822293;2.5937262197898993e9;8.5690403e-2;5.098611848e0;5.2614749e-2
18;85933;65536;4171;503939;2822285;24809485;2257590;4515180;29889360;0;86542;59776718;2.589116988912807e9;8.5728432e-2;5.098587879e0;5.2300129e-2
