cycle;start;source;rr;split;absorb;scatter;fission;produce;collision;escape;census;num_seg;scalar_flux;ppControl(s);cycleTracking(s);cycleSync(s)
0;0;8192;0;73728;306830;2793025;245713;491426;3345568;0;20803;6725067;2.4632191671399742e8;1.5677452e-2;2.29050696e-1;1.843573e-3
1;20803;8192;0;52933;367036;3205433;293164;586328;3865633;0;8056;7725427;3.14918910169884e8;1.1075849e-2;2.90739867e-1;1.3889359e-2
2;8056;8192;0;65619;345756;3046247;275905;551810;3667908;0;12016;7343824;3.191372149302375e8;1.1231541e-2;2.74196318e-1;1.13211e-2
3;12016;8192;0;61706;356636;3128730;285587;571174;3770953;0;10865;7544868;3.224676329969139e8;1.126525e-2;2.78980833e-1;1.1365021e-2
4;10865;8192;999;62984;350695;3083424;280041;560082;3714160;0;10388;7428011;3.288721564395779e8;1.1558103e-2;2.76995188e-1;1.1132079e-2
5;10388;8192;182;63281;354655;3125217;284084;568168;3763956;0;11108;7530476;3.256656537564566e8;1.0909568e-2;2.8284864e-1;1.261408e-2
6;11108;8192;464;62603;352105;3086088;281048;562096;3719241;0;10382;7437928;3.2399204996479505e8;1.1414952e-2;2.76938647e-1;1.1648533e-2
7;10382;8192;480;63347;349563;3062206;278847;557694;3690616;0;10725;7381270;3.1900429805872726e8;1.1475292e-2;2.72290655e-1;1.1312121e-2
8;10725;8192;574;62945;354230;3111928;283769;567538;3749927;0;10827;7502073;3.242819374492417e8;1.1397792e-2;2.8148135e-1;1.129632e-2
9;10827;8192;522;62828;357256;3151025;286658;573316;3794939;0;10727;7589458;3.2785926921835023e8;1.1278421e-2;2.83481244e-1;1.1662063e-2
10;10727;8192;525;63029;352090;3099037;281542;563084;3732669;0;10875;7461432;3.1993033530218095e8;1.3831369e-2;1.92096652e-1;1.2047916e-2
11;10875;8192;584;62907;355510;3134447;285236;570472;3775193;0;11116;7550263;3.278747312780237e8;1.1659643e-2;1.90332249e-1;1.1436921e-2
