cycle;start;source;rr;split;absorb;scatter;fission;produce;collision;escape;census;num_seg;scalar_flux;ppControl(s);cycleTracking(s);cycleSync(s)
0;0;8192;0;73728;306830;2793025;245713;491426;3345568;0;20803;6725067;2.4632191671399742e8;1.6371877e-2;3.79620851e-1;1.978694e-3
1;20803;8192;0;52933;367036;3205433;293164;586328;3865633;0;8056;7725427;3.14918910169884e8;1.1846275e-2;4.41492593e-1;1.4840696e-2
2;8056;8192;0;65619;345756;3046247;275905;551810;3667908;0;12016;7343824;3.191372149302375e8;1.9959583e-2;4.34814335e-1;2.7516516e-2
3;12016;8192;0;61706;356636;3128730;285587;571174;3770953;0;10865;7544868;3.224676329969139e8;1.2194158e-2;4.43649708e-1;1.2928892e-2
4;10865;8192;999;62984;350695;3083424;280041;560082;3714160;0;10388;7428011;3.28872156439578e8;1.4623725e-2;4.15373336e-1;2.2204398e-2
5;10388;8192;182;63281;354655;3125217;284084;568168;3763956;0;11108;7530476;3.256656537564566e8;1.2465819e-2;4.07438809e-1;1.3207445e-2
6;11108;8192;464;62603;352105;3086088;281048;562096;3719241;0;10382;7437928;3.2399204996479505e8;1.1916195e-2;3.98513316e-1;1.9883612e-2
7;10382;8192;480;63347;349563;3062206;278847;557694;3690616;0;10725;7381270;3.1900429805872726e8;1.3287835e-2;4.06728554e-1;1.8536283e-2
8;10725;8192;574;62945;354230;3111928;283769;567538;3749927;0;10827;7502073;3.2428193744924164e8;1.2411869e-2;3.1511403e-1;5.2492935e-2
9;10827;8192;522;62828;357256;3151025;286658;573316;3794939;0;10727;7589458;3.2785926921835023e8;1.3901999e-2;1.96299462e-1;1.6061355e-2
10;10727;8192;525;63029;352090;3099037;281542;563084;3732669;0;10875;7461432;3.1993033530218095e8;1.4607364e-2;1.98485598e-1;1.7802457e-2
11;10875;8192;584;62907;355510;3134447;285236;570472;3775193;0;11116;7550263;3.2787473127802366e8;1.4762575e-2;2.0155202e-1;1.2754761e-2
12;11116;8192;729;62609;349480;3072968;279253;558506;3701701;0;10961;7404469;3.207007850112782e8;1.0983078e-2;1.94754311e-1;1.2186837e-2
13;10961;8192;725;62722;348823;3060361;278172;556344;3687356;0;10499;7373538;3.2408900753081214e8;1.4368783e-2;2.01027076e-1;1.8426071e-2
14;10499;8192;458;63200;353610;3111413;282968;565936;3747991;0;10791;7497738;3.254175680116639e8;1.4342572e-2;1.98245576e-1;1.821987e-2
15;10791;8192;541;62896;350694;3080550;280423;560846;3711667;0;11067;7429238;3.18319665308691e8;1.1460672e-2;1.89518653e-1;1.261779e-2
16;11067;8192;466;62662;357217;3145213;286461;572922;3788891;0;10699;7580483;3.269244769140702e8;1.1028849e-2;1.99266123e-1;1.2269028e-2
17;10699;8192;351;62974;351844;3086893;281154;562308;3719891;0;10824;7446124;3.2037571155283904e8;1.0870037e-2;1.92166533e-1;1.7467295e-2
18;10824;8192;659;62872;355728;3130857;285193;570386;3771778;0;10694;7541366;3.284650188946e8;1.1048899e-2;1.93056561e-1;1.5965164e-2
19;10694;8192;608;63143;353431;3102074;282755;565510;3738260;0;10745;7483297;3.222277213239981e8;1.4933017e-2;1.985547e-1;1.821555e-2
