cycle;start;source;rr;split;absorb;scatter;fission;produce;collision;escape;census;num_seg;scalar_flux;ppControl(s);cycleTracking(s);cycleSync(s)
0;0;8192;0;73728;306830;2793025;245713;491426;3345568;0;20803;6725067;2.4632191671399742e8;1.5728022e-2;4.85090852e-1;1.862824e-3
1;20803;8192;0;52933;367036;3205433;293164;586328;3865633;0;8056;7725427;3.14918910169884e8;1.0466375e-2;5.70223949e-1;1.1140059e-2
2;8056;8192;0;65619;345756;3046247;275905;551810;3667908;0;12016;7343824;3.191372149302375e8;1.0686346e-2;5.5210724e-1;9.158205e-3
3;12016;8192;0;61706;356636;3128730;285587;571174;3770953;0;10865;7544868;3.224676329969139e8;1.2379329e-2;5.53232587e-1;9.405527e-3
4;10865;8192;999;62984;350695;3083424;280041;560082;3714160;0;10388;7428011;3.288721564395779e8;1.2207457e-2;5.41359483e-1;9.431078e-3
5;10388;8192;182;63281;354655;3125217;284084;568168;3763956;0;11108;7530476;3.2566565375645655e8;1.2115217e-2;5.4652415e-1;9.449037e-3
6;11108;8192;464;62603;352105;3086088;281048;562096;3719241;0;10382;7437928;3.2399204996479505e8;1.2189267e-2;5.46924173e-1;9.568718e-3
7;10382;8192;480;63347;349563;3062206;278847;557694;3690616;0;10725;7381270;3.1900429805872726e8;1.4967276e-2;5.34216102e-1;9.639579e-3
8;10725;8192;574;62945;354230;3111928;283769;567538;3749927;0;10827;7502073;3.242819374492417e8;1.2164357e-2;5.41950437e-1;9.77095e-3
9;10827;8192;522;62828;357256;3151025;286658;573316;3794939;0;10727;7589458;3.2785926921835023e8;1.2114676e-2;5.51686417e-1;9.75876e-3
10;10727;8192;525;63029;352090;3099037;281542;563084;3732669;0;10875;7461432;3.1993033530218095e8;1.2109517e-2;5.40327215e-1;9.412147e-3
11;10875;8192;584;62907;355510;3134447;285236;570472;3775193;0;11116;7550263;3.2787473127802366e8;1.2176997e-2;5.45779315e-1;9.504488e-3
