n_particles,PopulationControlAvg,CycleTrackingAvg,CycleSyncAvg
10000,1469,204634,948
20000,2511,396397,1036
30000,3678,589677,988
40000,4815,775186,945
50000,6037,963072,939
60000,7177,1145662,982
70000,8165,1331474,980
80000,9335,1525243,974
90000,10562,1724801,970
100000,11655,1897176,1066
