cycle;start;source;rr;split;absorb;scatter;fission;produce;collision;escape;census;num_seg;scalar_flux;ppControl(s);cycleTracking(s);cycleSync(s)
42;5432;4096;221;31399;174836;1537749;139681;279362;1852266;0;5551;3702314;1.6135465396014917e8;6.68449e-3;1.156064717e0;6.713018e-3
43;5551;4096;247;31251;178224;1565668;142746;285492;1886638;0;5173;3772382;1.6436467821760112e8;6.585961e-3;1.17493801e0;6.707004e-3
44;5173;4096;372;31705;177880;1565700;142840;285680;1886420;0;5562;3772357;1.6126689315319327e8;6.603427e-3;1.173840142e0;6.84956e-3
45;5562;4096;379;31386;173702;1525163;138321;276642;1837186;0;5284;3674183;1.5990187949520501e8;6.70368e-3;1.169112154e0;6.955415e-3
46;5284;4096;162;31574;173931;1526315;138663;277326;1838909;0;5524;3679423;1.6088590306974232e8;6.580238e-3;1.144668076e0;6.823035e-3
47;5524;4096;233;31300;178337;1574932;143390;286780;1896659;0;5740;3793935;1.6588164094551405e8;6.59851e-3;1.180491617e0;6.775876e-3
48;5740;4096;352;31165;179189;1580306;144120;288240;1903615;0;5580;3807683;1.6714942733631226e8;6.664507e-3;1.190459997e0;7.013387e-3
49;5580;4096;158;31320;177513;1560070;141974;283948;1879557;0;5299;3759743;1.648693560619422e8;6.624453e-3;1.196165216e0;6.868337e-3
50;5299;4096;261;31427;173660;1532157;138865;277730;1844682;0;5766;3689838;1.6274459198646313e8;6.646409e-3;1.151474027e0;6.820696e-3
51;5766;4096;189;31094;174731;1532209;138972;277944;1845912;0;5008;3689013;1.6151805287141773e8;6.656243e-3;1.150694469e0;6.853503e-3
52;5008;4096;300;31845;177070;1563622;141945;283890;1882637;0;5524;3768442;1.6163423442072797e8;6.683517e-3;1.172693136e0;6.668027e-3
53;5524;4096;337;31388;177652;1562744;142475;284950;1882871;0;5494;3764836;1.6569027587975907e8;6.633626e-3;1.174210322e0;6.682205e-3
54;5494;4096;189;31370;177177;1559866;142009;284018;1879052;0;5603;3755707;1.6491560105863708e8;7.549862e-3;1.28264849e0;7.285987e-3
55;5603;4096;384;31291;172302;1505238;136899;273798;1814439;0;5203;3629702;1.6074987463309732e8;6.708375e-3;1.132348632e0;6.72966e-3
56;5203;4096;299;31690;174862;1536091;139654;279308;1850607;0;5482;3701094;1.6291284809717885e8;6.616699e-3;1.189051787e0;6.698744e-3
57;5482;4096;301;31400;175027;1535588;139798;279596;1850413;0;5448;3700005;1.6069814415929395e8;6.689174e-3;1.155172077e0;6.86717e-3
58;5448;4096;319;31447;176320;1549585;140980;281960;1866885;0;5332;3734455;1.621477388454925e8;6.587577e-3;1.19289676e0;6.695245e-3
59;5332;4096;251;31507;174207;1528915;138916;277832;1842038;0;5393;3685143;1.5972037235973388e8;6.572478e-3;1.147939334e0;6.701249e-3
60;5393;4096;267;31516;177923;1563878;142621;285242;1884422;0;5436;3768709;1.633353723084629e8;6.651428e-3;1.2632567350000001e0;6.769642e-3
61;5436;4096;169;31497;171256;1496699;135534;271068;1803489;0;5138;3607648;1.6000810720838237e8;6.710529e-3;1.124521022e0;6.907461e-3
62;5138;4096;229;31769;174340;1531734;138805;277610;1844879;0;5239;3686863;1.6144315455265945e8;6.744958e-3;1.173490693e0;6.686483e-3
63;5239;4096;152;31612;174504;1529983;139180;278360;1843667;0;5471;3687268;1.574507156557669e8;6.969381e-3;1.149740653e0;6.803549e-3
64;5471;4096;275;31343;173176;1518138;137847;275694;1829161;0;5306;3658940;1.6014490401707432e8;6.668744e-3;1.139555881e0;7.730452e-3
65;5306;4096;384;31583;177501;1566706;142276;284552;1886483;0;5376;3773203;1.6185530101386425e8;6.695445e-3;1.174563638e0;6.834965e-3
